utt_id,wav_path,word_index,word_text,t_start,t_end,duration,ipa_canonical,mfa_phones,asr_phones
71030,C:\PY\pronuncise_research\mfa_corpus_german\71030.wav,0,erneuerbare,0.630,1.220,0.590, ɛ ɾ n ɔø ɜ b ɑː r ə,ɛ ɐ n ɔʏ ɐ b aː ʁ ə,a n a j b a v
71030,C:\PY\pronuncise_research\mfa_corpus_german\71030.wav,1,energien,1.220,1.770,0.550, eː n ɛ ɾ ɡ iː n,eː n ɛ ɐ ɟ ɪ n̩,ə n a ɡ iː ə n
71030,C:\PY\pronuncise_research\mfa_corpus_german\71030.wav,2,werden,1.770,2.000,0.230,v ɛ ɾ d ə n,v eː ɐ d ə n,aː d n
71030,C:\PY\pronuncise_research\mfa_corpus_german\71030.wav,3,wohl,2.000,2.120,0.120,v oː l,v oː l,
71030,C:\PY\pronuncise_research\mfa_corpus_german\71030.wav,4,immer,2.120,2.530,0.410, ɪ m ɜ,ɪ m ɐ,m aː
71030,C:\PY\pronuncise_research\mfa_corpus_german\71030.wav,5,günstiger,2.630,3.130,0.500,ɡ ʏ n s t ɪ ɡ ɜ,ɟ ʏ n s t ɪ ɡ ɐ,y n s t ɪ ɡ a
71030,C:\PY\pronuncise_research\mfa_corpus_german\71030.wav,6,und,3.130,3.260,0.130, ʊ n t,ʊ n,a
71030,C:\PY\pronuncise_research\mfa_corpus_german\71030.wav,7,preiswerter,3.260,3.840,0.580,p ɾ aɪ s v eː ɾ t ɜ,p ʁ aj s v eː ɐ tʰ ɐ,x ɑ5 ɕ yɛɜ ts.h əɜ
71030,C:\PY\pronuncise_research\mfa_corpus_german\71030.wav,8,werden,3.840,4.280,0.440,v ɛ ɾ d ə n,v eː ɐ d ə n,v ɛ ɾ d ə
71030,C:\PY\pronuncise_research\mfa_corpus_german\71030.wav,9,und,4.280,4.820,0.540, ʊ n t,ʊ n t,o n
