id,filename,rel_path,phonemes,error
71030,71030.mp3,audios\71030.mp3,n ə n ɔø b ɜ r ə ɛ n ɜ ɡ iː l ə n v ɛ d ə n v ʊ l ɪ m ɑː ɡ y n s t iː ɡ ɜ n p ɾ aɪ s ɛ ɾ t ɜ v ɛ d ə n ɔ n z ɪ ç ɪ m ɜ v aɪ t ɜ n t v aɪ t ɜ f ə b ɾ aɪ t ə n,
71030,71030.wav,audios\71030.wav,ɪ n ɔø b ɜ r ə ɛ n ɜ ɡ iː l ə n v ɛ d ə n v ʊ l ə m ɑː ɡ y n s t iː ɡ ɜ n p ɾ aɪ s ɛ ɾ t ɜ v ɛ d ə n ɔ n z ɪ ç ɪ m ɜ v aɪ t ɜ n t v aɪ t ɜ f ə b ɾ aɪ t ə n,
71096,71096.mp3,audios\71096.mp3,ɪ ç m ɜ k a m l ɪ p s d ɛ n h ɛ p s t v aɪ l ə l b ɑː l ɛ s ʃ ə n b ʊ n t ɪ s t uː t v aɪ l ɪ s f iː n ts ə ɛ s t ə n ɡ iː p t,
71096,71096.wav,audios\71096.wav,ɪ ç m ɜ k a m l ɪ p s d ɛ n h ɛ p s t v aɪ l ə l b ɑː l ɛ s ʃ ə n b ʊ n t ɪ s t uː n t v aɪ l ɪ s f iː n ts ə ɛ s t ə n ɡ iː p t,
71253,71253.mp3,audios\71253.mp3,ɛ m a n ɪ ç f ɾ a k t a ɾ z ɪ ç f ɪ n ə d ə v a s d iː ɡ ɪ s d ɛ l ə t ʃ a f d iː b ə d ɪ n k l iː m ɜ v a n d l d ɛ ŋ ɛ v y s t ɪ ç t a n ç v a t ç a n v ɔ ɾ t ə n z a l d ɛ n ə n ɪ ç d l aʊ b ə ɛ s m a n ɪ ç d a s ə s d iː ɡ ə z ɛ l ʃ a f ts ə l ts h oː m ʊ ɡ eː n ə m a s ə ɡ ɪ p t ɛ ɾ ə ɔ n t d iː d ɛ ɡ d a ŋ ɡ ə a z ə d iː ɡ ɪ d a n k ə n ɪ n t ɪ n d ɛ ɡ ə z ɛ l ʃ a f t ɛ ɾ yː b ə d ɪ n k l m ɜ v a ɾ n d ɪ l d iː z ɪ ə n d ə ɾ v r aɪ t ɡ ə f aɪ ç ə ɾ t d ɛ ç m aɪ n m a n t ə n ə n f ɪ n ɪ t z oː f iː l ə b aʊ x f iː d ə ç p ɾ ɔ ç t ɪ ç ə ɪ ɪ n f m a ɾ ts iː oː n ə n ɔ d ə n t ɛ n j ɛ ɾ aɪ ç ɡ eː ə n ɪ ç d ɛ f a n aʊ l s t a s d iː d ɛ s d iː iː ɡ ə z ɛ l tʃ a f t ɛ ɾ aɪ ə n oː ɾ aɪ n ə m aɪ n ə ŋ h a ts ɜ n ɜ n ɪ ç l aʊ b ə d a s t ɜ a l ə s a p ɡ ə d ɛ k d ɪ s f ɔ m f ɔ n ə m ɡ l aʊ b ə a ɜ d a s d a s a s a l ə s ə n ç b ɪ n d ə l ɪ s b ɪ s z ə n ɡ l aʊ b ə n d a s t a s ɛ ɾ ɪ n v eː n ɪ n j ɛ n ʃ ɔ n ts ʊ k a t a s t ɾ aʊ f ə f yː h ɾ t ɪ n s a l ə s d a b ɜ ə v a s f ɪ n d ə ɪ ç d ɛ n k d ɪ z ɛ ɾ ə ʃ a f t yː b ɛ k l iː m ɜ v a n ə j ɜ s h ɛ z ɛ s ə n k a m p l ɛ k s ə s t eː m aɪ ç d ɛ ŋ m a d ɜ s d ɛ ŋ ə n ts ʊ n ɪ ç m a a l d ə x,
71253,71253.wav,audios\71253.wav,ɛ n a n ɪ ç f ɾ a k t a ɾ z ɪ ç f ɪ n ə d ə v a s d iː ɡ ɪ s d ɛ l ə t ʃ a f d iː b ə d ɪ n k l iː m ɜ v a n d l d ɛ ŋ ɛ v y s t ɪ ç t a n ç v a t ç a n v ɔ ɾ t ə n z a l d ɛ n ə n ɪ ç d l aʊ b ə ɛ s m a n ɪ ç d a s ə s d iː ɡ ə z ɛ l ʃ a f ts ə l ts h oː m ʊ ɡ eː n ə m a s ə ɡ ɪ p t ɛ ɾ ə ɔ t d iː d ɛ ɡ d a ŋ ɡ ə a z ə d iː ɡ ɪ d a n k ə n n t ɪ n d ɛ ɡ ə z ɛ l ʃ a f t ɛ ɾ yː b ə d ɪ n k l m ɜ v a ɾ n d ɪ l d iː z z ɪ ə n d ə ɾ v r aɪ t ɡ ə f aɪ ç ə ɾ t d ɛ ç m aɪ n m a n t ə n f ɪ n ɪ t z oː f iː l ə b aʊ x f iː d ə ç p ɾ ɔ ç t ɪ ç ə ɪ n f m a ɾ ts iː oː n ə n ɔ d ə n t ɛ n ɛ ɾ aɪ ç ɡ eː ə n ɪ ç d ɛ f a n aʊ l s t a s d iː d ɛ s d iː iː ɡ ə z ɛ l tʃ a f t ɛ ɾ aɪ ə n oː ɾ aɪ n ə m aɪ n ə ŋ h a ts ɜ n ɜ n ɪ ç t l aʊ b ə d a s t ɜ a l ə s a p ɡ ə d ɛ k d ɪ s f ɔ m f ɔ n ə m ɡ l aʊ b ə a d a s d a s a s a l ə s ə n ç b ɪ n d ə l ɪ s b ɪ s z ə n ɡ l aʊ d ə n d a s t a s ɛ ɾ ɪ n v eː n ɪ n j ɛ n ʃ ɔ n ts ʊ k a t a s t ɾ oː f ə f yː h ɾ t ɪ n s a l ə s d a b ɜ ə v a s f ɪ n d ə ɪ ç d ɛ n ɡ d ɪ z ɛ ɾ ʃ a f t yː b ɛ k l iː m ɜ v a n ə j ɜ s h ɛ z ɛ s ə n k a m p l ɛ k s ə s t eː m aɪ ç d ɛ ŋ m a d ɜ s d ɛ ŋ ə n ts ʊ n ɪ ç m a a l d ə x,
71254,71254.mp3,audios\71254.mp3,m aɪ n l iː p l ɪ ŋ k s ɡ ɪ t ɾ ɪ ŋ ɡ ɪ s m ɪ n ɛ r a l v a s ə ɛ ç ɡ a n s n ɔ m a l z m ɪ n ə r a l v a ts ə n ə ʃ b oː d ə v a s ə ɜ m ɪ k oː ə n z ə r yː ç m a n ɪ ç v yː ts ɜ x ʊ n k ʊ n z ə r ə t ɾ ɪ ŋ ɛ x ə m ɛ ç m ɪ t b uː l ə l ɪ ç b aɪ z ɔ n ɪ ç ɪ s h a ɪ s ʊ n ə ɡ b oː n h a ts a r ə ɡ a b ɛ v a s ɜ ɪ s a m aʊ x v y m aɪ j ɛ ts a x t oː h oː d ə s a d j a ɾ k aɪ ə n ɪ ʃ m a k ə a n z ɪ ç eː ç ɔ n n aɪ l b l ɪ ŋ s ɡ ə t r ɛ ŋ ɡ ɪ s v a s ɜ,
71254,71254.wav,audios\71254.wav,m aɪ n l iː p l ɪ ŋ k s ɡ ɪ t ɾ ɪ n ɡ ɪ s m ɪ n ɛ r a l v a s ə ɛ ç ɡ a n s n ɔ m a l z m ɪ n ə r a l v a z ə n ə ʃ b oː d ə v a s ɜ ɜ m ɪ k oː ə n z ə r yː ç m a n ɪ ç v yː ts ɜ x ʊ n k ʊ n z ə r ə t ɾ ɪ ŋ ɛ x ə m ɛ ç m ɪ t b uː l ə l ɪ ç b aɪ z ɔ n ɪ ç ɪ s h a œ s ʊ n ə ɡ b oː n h a ts a r ə ɡ a b ɛ v a s ɜ ɪ s a m aʊ x v y m aɪ j ɛ ts a x t oː h oː d ə s a d j ɛ ɾ k aɪ ə n ɪ ʃ m a k ə a n z ɪ ç eː ç n ə n aɪ l b l ɪ ŋ s ɡ ɪ t r ɛ ŋ ɡ ɪ s v a s ɜ,
71255,71255.mp3,audios\71255.mp3,h ə m ə n ɪ ç v r a k b ɛ ç ɪ s t iː ɪ ç ɛ m aɪ s t ə n m ɑː ɡ ə n v a r ʊ m ə n d a z ə s k a n t n ɪ ç b a n v ɔ ɾ t ə n ɪ ç m a k a l ə t iː r ə aʊ f ɡ l aɪ ç ɑː ɾ t ʊ n v aɪ z ə n a t yː ɾ ɪ ç a k b a n a m d yː ç s aɪ n ə l eː b ə n ts ɛ ɾ f ɑː h ʊ ɡ n ɛ ŋ ɡ ɪ ç m ɑː m eː ɾ m ɪ t k a ts ə n h ʊ n ə ə n ɡ ɛ ɾ b m ɛ m t eː r a r ʊ m t iː ə n n v aɪ ts ɪ ə n ç k a n iː n ç ə n z ə v a s ə m v a s v a s ə s ə m ɛ n ʃ n h aɪ l t ɪ ɛ m d ɛ n eː r ə n ʊ ʊ ɡ eː v ʊ ŋ z ʊ ts ə h aʊ z ə h a b ə n ɛ ɾ n ɑː ɡ ə ə r eː n ɡ iː n d ɛ s r ə s f ɜ h ɛ l t ə n z a l ts ɛ ts m ɪ t k aɪ n ɜ a n ʊ ŋ ɛ h ə ə l yː f ə n ə ɡ iː r ɑː f ə n k aɪ n ɜ ɛ ɔ z aɪ ç ə n t ə n t iː n a k m ɛ k s oː d ɪ ʃ ə r ə n t iː r ə n oː l ə h yː ɜ v ɛ l t iː r b ɪ ç ʃ v aɪ n ə ɛ m d a k s ə n f ɔ k s k n ɜ a n ʊ ŋ a b ɜ m œ ɡ ə n t uː ç s a l ə z a m t ɛ z ə v yː l ɪ ç s t a ŋ ə n j ɔ,
71256,71256.wav,audios\71256.wav,aɪ ɾ ɛ z ɛ s ɛ ɾ n a t oː ɡ ə m eː z ɛ ɾ z oː d ɛ s m a n z ɛ v ɜ ʃ aɪ n ɪ ç d iː v ɛ ɜ m ɜ r ə n m oː n ɜ t ə b ə f oː ɾ ts uː k d ɛ ə n ɛ ɾ m ə n a n ɡ n ə r ɾ aʊ s ɡ ɪ n ə s s a f d iː ts aɪ k v oː m a z ɪ ç v ɜ ʃ ə n aɪ n ç ɛ f t ɛ s d m ɪ t ɾ ɔø n ə n ə n aʊ s ɜ h ɜ p d ə s aʊ z ə s t ɾ ɪ f t ʊ n ts ɾ ə s t ə s ə s ɪ m ɜ z ɛ ɾ ʃ yː ə n ʊ n t ɛ ə m f ɔ n d ɜ aɪ v ə d iː s z ɑː ə n d iː j ɑː r ə s ts aɪ ɾ t ə n d iː v ɑː m m iː a x ə s ts aɪ t ə n f ɾ yː l ɪ ŋ ɛ r z ə ɾ m ɑː n a t yː l ɪ ç p aʊ b ɪ s ə n h ɛ ɾ p s ə n x aɪ n z ɪ n t z y n t ʊ k eː iː m aɪ n ɪ ç v yː d ə ɜ r ʊ m v ɪ n t ɜ m yː ɡ ə n ɜ b ɜ n ɪ ç ɛ l ɛ n ɪ ç ɪ m a l t ɜ h a ɡ ɪ ç ɪ ç ɪ ɪ m oː l ɔ ɾ p f yː l ɛ tʃ ʊ n,
