id,filename,rel_path,phonemes,error
71030,71030.wav,audios\71030.wav,jnəʊəbʌvnəɡinvɪnwɑlɑɡɪnztəɡɑnpaɪsənɑntəmɑvaɪtəɪnvaɪtəvəb,
71096,71096.wav,audios\71096.wav,ɪmaɪkʌlid͡ʒzðɛnɛsaɪlɪtpæləsʃəbwɑnistwɪðwɑtɪzfɪntəɛsənipt,
71253,71253.wav,audios\71253.wav,əɪnəɪɪɪmɪɪðɪnnnɪbsnɪəðiɑvhəʊməæsɪæŋɡlaɪzɪɪðɪɪlmltznɪnsəʊfiɑɪpʊʃɪɪɪnsɔnɪnnəɛzɪaɪnəʊaɪdəʊaɪnæsnnɪzəəɛɪfɑmfɪɡlʌəəsəɪndlɪzɪslʌnɛnɪnəʊtəkæəəʊælbəsɪɪlmnjkəmplɛksɪztimaɪtɪzɪs,
71254,71254.wav,audios\71254.wav,maɪliɪŋsɹɪŋɪznɛvwzsminəbuknslʃmænɪɪtɑvnknɪbuɪʃbaɪznsweɪbɑvæsɪzwɪmənɛtsɑvtəshəjknɪʃmkænɪɪneɪɪzɹɪŋɪwɑsə,
71255,71255.wav,audios\71255.wav,ɪɪzjaɪənnɪknmktvblaɪənaɪzətænsaɪieɪfɑæŋɡɪʃmaɪmɪkætsnɛjmænknɪnnəəəsɛnɛnnɑhaʊhææɛsəæmaɪnnəʊunnneɪneɪksəʊinɪɪnʌkfəʊksaɪnnəʊuəælzæɹɪlɪ,
71256,71256.wav,audios\71256.wav,ssjəʊkmizəʊəzʌɛənðæmməʊnətəɑtəʊɛnʌnkæləɑskɪnsæɪsaɪəʊmənɪsəənaʊəsaʊzɪzələəssɪmzʃʊwɑndfɹɑðəɪnɪjɑlɑzsaɪnlɪŋsəɑɪɪɪnhlpsnɔnənɛnəʊmeɪnɪnəənnmkəpleɪn,
71257,71257.wav,audios\71257.wav,zɪtækɪnsəʃutsnəsənænsɪmpləzɪnimlutntæpfaɪfɑnʌnknnzwɑzɪntuvnjʊsnɪəɛnpɔzɪbiɪnnɪitlntəbɪæbɪnzɑsəʊhəpəsnkʌɔnaɪsæŋbɑnɑsɪnɑnɛsəmɛnnnɪædəswəzɪəənnnjəhɛpɪnɑtɑðəʊtəʃsnspɪkjɪnəʊminænnvɑssiʌnɑlæsəsəʊjkpsəstksəmʃtsnb,
71258,71258.wav,audios\71258.wav,əʊwilhtuaɪɪɪɪsɪəaɪmɪpɪnðɪnipɪslɪnænvɑnsɪtəʊldəsidjmɑnɪsiseɪzɛzɪzfilfmɪɑvfʃinɪnivbnnɑðəəʊæɔənðəsnɑəɔɑtɪzən,
71259,71259.wav,audios\71259.wav,jkəʊɛnɹɪzfɪʃbɛnəʊsəsɛnæpeɪææɑə,
71260,71260.wav,audios\71260.wav,spɪʃɪkaʊnɔjnəʊpðəæʌnəlŋɪslɛɪkɑnɪənəmɑɑnmaɪɔəʊvəlɛɪænɡɛnəʊnvəɪænmɑkænɪnɪzɪzɪzðɪsvɑnsnɑnsɛəzzlɔɑnðəɛnɪðnɪmnɪnndstɹeɪɪŋɪtəʊməʊɑɑkɑnɪɪssfɝænnnvnɪnbtɔnæstinnɔə,
71261,71261.wav,audios\71261.wav,sɛsʌjaɪɪɪɪktəmaɪnsaɪizɪɪsəʊkʌmɪəmɛnʃnɪbəmɛnʃnɑvbɪnðɪɪtəɑbəsəʊzɪəæeɪəʊeɪsmɪənəʊsəʊkʌmnɪɪɝnsnfɔəʊbaɪðɪsɛnnjjɪkɛnmɪɪɪɪtaɪɑzəjsvaɪɪɪnjujfmɛnʃnzəvjəfizfəfəðɪɪtnjjææiɪʃijæɪʃ,
71262,71262.wav,audios\71262.wav,ɪɑsukɑɪjilɛtɪnfɔɪɑsəsəʊnənæsɪnɪməʊbæsəzmɛnnjɪɪəʌnniaɪnɛnʊaɪɪnlɔɪɪsnnðɪkknɪʃɪnɪnɪɛɪjʌpɪɪəaɪnvnnɑljjjnɑsnɔplɪɔnsinzuəsəʊfɪʃɪeɪɪɪɛnɛəkznɪəɛsəskæjjnɪnæksəʊɪzɑnæɑsəʊjʊsɪnaɪɪɛssəʊɪskæjjjnɪnsænnjsnnɔknɪjjjsæɪɪkəʊknnnsjnɔməʊænijɪnlæmaɪɪjnlɪɛnɪəljɑsɛjəʊjsiɪənsaɪsəʊʊɪjjssɪsəʊʊnɪniɪɑsnɛnnnɪmmɛnn,
71263,71263.wav,audios\71263.wav,ənænəɪəbðɛnðɪpliɪʃbɪtaɪɪɡəʊɡaɪɪəʊðɪɪɪɪnnðɪplitɪʃbtɪəʊɪɪnəzɪʃnɪfəʃinænfaɪnjəjəzʃtəəpænənsəʊʃlɪznəʊnjðəðɪsmbɪsæbɪksmlɪsɪʃnəɪzeɪdɑkmɑtɪʃɑnɪənʃɪæsbəŋɡlɪʃɪaɪsɪbətaɪɪɡpəliʃnðɪskz,
71264,71264.wav,audios\71264.wav,ðsɪnətɑʃəjunɛzðəɪtɪninʌθɪɑzəəplɔɪjʊɑvblæmænətɪʃnɪʃmuɪvtbwɛnðæzsjuɑfðətsmʌnɪəbaʊtɪtænɪvssteɪlnɹɛdhætɹɪəlɪmændɪŋkɪʃmaɪaʊbaɪwkɹuənɪɛnɪsnaɪnjʊaɪwvblaɪbtsaɪflɪŋɡðətsəʊəblaɪd͡ʒɪldəənɑəsɪɪəsɑnəmænufɹtɪzɪzsiljʊəwaɪmʌsɪfɪɪpɛsɑnhəʃnənəʊ,
71265,71265.wav,audios\71265.wav,ɪzəsəsɪɪʃɪɪʃinəʊɑɪtəhævəɛhɑbɪɪpɪɛɪjuztəsaɪnðɪjɪəsisəkʌŋklɪjmæklɪeɪɪɪɪhsɪznɑtəɪʃʊɪðɪzɪndɪvɪd͡ʒlmhaɪlɑnɪvɛntəʊsəʊmɪzinjhɑbɪnjɪimaɪɑsəɪʃɪʃɪŋkɪmwɑnnmɛnnɪwɑnsɪɪnɑnsbeɪwɑnsɪɪɑðəsəsbɪɡɪtwɑnðəɑbɪɪɪpeɪðɪðɪsaɪdɪfɛktsɑnənæŋɡlɪʃhɑpɪɪtit͡ʃkæɑnɪswɪŋæŋʃəwɑzʌtəwdsəʊjaɪɑbɪaɪsaɪɪnzjsjj,
71266,71266.wav,audios\71266.wav,nɪnsəʊffəʊənəɪnnwɔəssɪəænəʊɪnɪzwɛlɪaɪnlɪʃplfɪpiænsiɪinbɑsɪðədʌt͡ʃpknjɑnɑslænɑtinəʊtnəbɪəzænɑəsən,
71267,71267.wav,audios\71267.wav,ɛəsəszəzsnpɪŋzfusmnsinɛɪləænænjɪfɔzənəsænəzɪntɛsmnfəʊənəɪnsnɔɪɪænfəʊlɪɪeɪɡəʊzɪɪzɛɪzəðɪsɪzsænɪænɪnfjnɔdəʊnspiɛvɪsfsnðəəpænuəɛnɪɪnmtənzbunɪəaɪænɪeɪɑəɔsaɪɪɛɪnnsaɪnsɪnuəsænsʌɪznzəʊləæɪnɔɪɪkænsnənzɔnænæɪnəʊɪɔvɛnuɪkɑlɪɪnɪɪənəɪnənfɡjzɪzzæɪnaɪəəsɪɪmɑɪəsɪɪskaɪsəsiɪŋzsn,
71268,71268.wav,audios\71268.wav,æbsəuɪmeɪnθæŋkɪɪɛsɪsəəɪnɪzsuənʃɪæænsæmfɹəpɑzɪɑnkænɪtjɪvðɪzəɪəhɛpsɪzidnɪɪəɪnbmifəɪjhəɪnɪʃstɪsəmɡʊɔsəmeɪʃɛnknizɔsəʊɪnɪɑəʊɪnknɪʃnɪpɪʃeɪtɪŋʌpðəɑɪʃɪʃsəʊðɪɔðɑsəʊzɪɑmlɪsnəʊəbəɪsiaɪnaɪsssɪziv,
71269,71269.wav,audios\71269.wav,ðəɪsaɪɪblɛtnsənnðɛzɪzminmaɪmnaɪnɑnffnænsɪʊvaɪəvʊæpsfɪlɹɑaɪənɔznknʊɹɪlɪd͡ʒəssəʊzaɪtɪliɪɪbɪəəbeɪðdʌznaɪaɪdidaɪnninɔɪɔaɪəaɪnsɔsɪzʊʊəʊkleɪʃnɪiɪeɪkibɹɪdbjɑmʌt͡ʃmɔnmlɪɑnɔɪlɑt͡ʃðɪəplɪ,
71270,71270.wav,audios\71270.wav,ɪbɪɪnælɪdsaɪtnɹaɪzɪvɪnziɹəɑptɛsæləzwɑnz,
71271,71271.wav,audios\71271.wav,ðəsɪɪkɪnɛnɪbɪtsisəʊsbɪʃnvɛnlɪæɪtseɪmæntɪɪkɪʃæɪŋtəkʌmaʊtwɑntəpleɪʃnaʊhʌndəɪnəʊnwdjʊəthəʊmjʊjɪðɛnpɑsəsɔðəpɑstəznɪʃʊɡnfəɪstɪŋɡɪʃəsðəstədɪdmɛnʃnɪɑvɑŋɡɹbɪtəktəsənɪəsəʃðnɑnðəszjʊðɪmhɪtɪvətɑnbɑðəsteəz,
71272,71272.wav,audios\71272.wav,ɪnʃəʊsəʊæljzəθɪŋkɪʃmaɪðɪfɪʃkeɪkʊubaɪbæjʊsindneɪtɑnənklaɪndɪŋænvifumjɛipsɪəzðəsaɪləssəəʊsɪsəʊsɪɪnɪzɪtɪŋəɪntɛsɪtwəsulɪɑnənsjæsɪɪfɪʃəɪɡəɪɪɹbseɪɡaɪszɔəvjɪnəʊɛn,
71273,71273.wav,audios\71273.wav,sstimaɪbiðɪʌtɪjpmzmænɪnsəmkɔsənthæəfsɪzjətɪʃɪzɪɪzəstɑtsəʊiɪnpɛznʃɪzɑŋlæŋɡɪd͡ʒɑnənəzɛtɛsɪsnəɪɪɪəsɪmtəɹukɪʃkeɪnsʌpɑlklnfjəvaɪɪnɪɪɪɪsɪzɪjvɪkɪʃænɪəʊɪəʊɪsɪnaɪstiməɑnɪuvɪðənzaɪɡeɪɛnbɪnfɔəəznnnz,
71274,71274.wav,audios\71274.wav,ɪsəʊkʌmnfiɑfnəɪɪaɪɪseɪtɪʃɛnðsəɑnjðæsmfənəeɪpɹɪkntsəʊəbɪnɑɑnɪŋɪʃɪzɔbɑsɑnnjəʊəɪðəsɛnsaɪnʃaɪnwɑzsɑɪæzsɪɑsəʊðɪnʃɛnfikəʊsðæðəjðəsnɪnjpəʊblɪəʊnəʊəsɪʃʃiænɔðəɪnfəʊɪslɪnnɔsɪɪɪəsaɪnsəʊɪzɪnzəzəəsɛjənmzskzðəsɪbɪæŋɡɪɪkkəʊnizəʊsəʊsɪbl,
71324,71324.wav,audios\71324.wav,ænʌɑnʌɛndɪŋʌ,
71325,71325.wav,audios\71325.wav,ɛnvɪænaɪɪzaɪnnaɪtɪzwʌnʃwɛnzɪŋɛntɪɑvɛntəænæfɪkətɔlkʌm,
71326,71326.wav,audios\71326.wav,ɪmɪʃbɪɡænənɔɪɡlizɪʃlænmænɪʃɛstʌɪnliɪænfɔn,
71327,71327.wav,audios\71327.wav,ðɛzeɪsaɪnɑvflæɡətɪzʌnmɝlθlɪʃbæntəwɔdukæn,
71328,71328.wav,audios\71328.wav,ɪniæskæptɝz,
71329,71329.wav,audios\71329.wav,it͡ʃmɑɹkʌmlɪpsnɪhæpstætɪʃtʌnælɑsɛɪnɝkfɹaɪtd,
71330,71330.wav,audios\71330.wav,ɪmhʌnɪʃɡæɑbɔdɑvəvɛnɪd͡ʒnɑənɔəænvɛɹəstæmlsən,
71331,71331.wav,audios\71331.wav,ipɛzunlɪʃfɔɹhælɪbsʌntsmɪə,
