id,filename,rel_path,phonemes,error
71030,71030.wav,audios\71030.wav,ˈɛn ɔøbərˌɛnɑːgˈiːlən vˌɛɾdənvˌɔl ˌɪmɑː gˈʏnstɪgɛɾn pɾˈaɪsfɛɾtɛɾvˌɛɾdən ˌɔn zˈɪç ˈɪmɛɾ vˈaɪtɛɾn vˈaɪtɾˌɛnvˌɛɾfɾˈɛɾtən,
71096,71096.wav,audios\71096.wav,ˈɪçmˌaɪkˈɑːm lˈipːsən dˈɛn hˈɛlpst vˈaɪln ˌɪn ˌɪnɛn ˈɪnɾ ˈɪnʃtɪn bʊŋ ˈɪn vˌaɪlz fˈiːl tsuː ˈɛʃən gˈiːpt,
71253,71253.wav,audios\71253.wav,rɪnçʃ frˈaɪkt fˈɑːzɪç fˈɪndɛl vˈas dˈiː gɪzˈɛltsʃaft ˌiːbɪɾ dˈiːn klˈiːmɑːvandəl dˈɛŋ vˈʏsˈɪç dˈaɪnç vˈɔɾ zˈɪç ˈantwɔːɾdən zˈɔltən ˈɪçt dˈiːlˈaɪn dˈɪlˈaɪvəlˌ dˈɛs mɑːn n�,
71254,71254.wav,audios\71254.wav,maɪn lˈiːvɪçtɪŋs gɪtɾˈɪŋk ˈɪst mɛnɛrɑːn vˌɑsɛln gɪnsˈɔmɑːl dˈɛs mɛnɪrɑːl vˈɑsɛl ʃpˈɔdəl vˈɑsɛr mˈɪk kˈɔnsoːrˌɪç mˈaɪn ɪç fyːɾt zˈɔx ʊŋkˈɔnsoːrə tɾˈiːŋɑːm mɪ,
71255,71255.wav,audios\71255.wav,øvɪmɪç frɑːktˈɛç ˈɪst tˈiːɾ ɪn mˈaɪstənmˌɑːk ɪn fɛɾʊm dˈɑs ɪt kˈant nɪçt bɑːnt mˈɑːk ɑːlətɪrɪːɾaːf lˈaɪçɑːɾt ɪn vˈaɪzə ˈɪnɔnˌtɪç hˈat bɑːnɛn dʊɐç zˈaɪnən lˈeːbɛntsɛ,
71256,71256.wav,audios\71256.wav,hˌɛɾˈɪs ɪs jˈɑːɾ nˈɑːtɾˈʊgɪmɪs ˈɛɾ zˈɪç vɛɾʊɐn kˈɛn rˈaʊs gˈeːdən ˈɪs ˈɪtsɪçt ˈɪtsɛɾlˌʊɐmɛn zˈɪçt vɔːɾɔøntən ˈaʊsɑːlpəs ˈaɪpəs ˈɑʊsɪçtɾɪft ʊn tsʊvːɾ,
71257,71257.wav,audios\71257.wav,hˌaːmˈaɪs ɪç ˈaɪl tˈɑːkt hˈɪç tˈuː ʊm dˈiː ʊmvˈɛltsʊʃˈʏtsnəs zɪnt gˈant zˌɪmpələ zˈɪçnˌaɪlˌvˈɪlətən ʊɐmˈɪltsɛnˌmˈɪlˈtɛnˌmˌaɪlˈtˈɛːlˈtˈɛːmˈɪlˈɛlˈtˈɛːmˈɪ,
71258,71258.wav,audios\71258.wav,oːˈaʊ ɑːm vˈiːɪltsɑːɪlt hˈɑst tuːɾˈɪç nˈaɪn ɛn ɛn vˌɪçkˈɛl kˈɛlt gˈɪpt dˈɪs gˈɪpt zˈɪpɑːs fˈɪln ɪn mˈaɪmdɪːɾən gˈɪpt dˈɛs nˈɪçt dˈeːən lˈiːɪçtɪŋs fˈɪln fˈɪln ɛs ɪn v�,
71259,71259.wav,audios\71259.wav,jˈaˌɪç kɔçə gɛɾnˈɛ ʊnts vˈɑːɾ ˈɑlɪs ɪn ˈɪn ˈɪn tɔlɪs rɪtsɛtˈɛltɛlt ˈɪnfɪɾt ʃɔn tsuːbɾˈɛltənmɔɾdɛltˈɛs ɪs ɪnɪnst dˈɑːbɛr ˈɪpɔpɪɾ ˈɛlʊlɛs gɛnmɑːɔs vɪln �,
71260,71260.wav,audios\71260.wav,ɪm ʊnt zvˈɪʃənvˌɑːç ˈaʊnˌɪç kˈaʊnˌɔç ʃpɔɾt vˌɛɪnˈɪgɛgɾˈaɪt fɔn ˌɑːbɛɾɪçɛlɪtˈɪç lˈaɪçtɪltɪç ʊnt gɛrˈɛtə tˈuːrən gɪnˈɑːçt ɪn mˈɑːk dˌiːzɪʃɛ ʃpɔɾtɛɾˈ�,
