id,filename,rel_path,phonemes,error
71030,71030.wav,audios\71030.wav,ˈɛn ɔøbərˌɛntɛgˈiːn vˌˌeːɾdən vˈoːl ˌʊmɑː gˈʏnstɪgɛɾn pɾˈaɪsfɛːtɛrvˌaɾtən ˈuːvɛt ːiˌmɛl vːaɛdɾɪnvˈˌiˈvːʊɾaɔn vɛbɾətən,
71096,71096.wav,audios\71096.wav,ˈɪçmˌaɪkˈaɾ mˈʏçtən dˈiːɾ ɪn hˈlˈpst vˈeːln ˌɪln vˌʊɐdʊn ʊd vːaɛs fˈyːəl tsuː ˈæsˌən gˈipː,
71253,71253.wav,audios\71253.wav,rɪnçʃ frˈaɪkt fɑːzˈɪç fˈində vˈas dˈiː gɪzˌɛlˈtʃaft ˌʏbɛɾ dˌiˈn klˈimɑvandəl d˒ŋ vˌœstˈix d˔aɾnç vːɔːsˈç ˈantwɔɾdən zˈʊl dɛn ːeɪt dːlˌaʊbəlː ˧ɛspɑn nˈeɾɪɪs dˑas dʏ gɛzːˈæltʃˌˌatsɔ als hɔmɪːgɛːnə mˈˈassə gˈipt ɔl˃ɔnt d˃iˌvˈəlnə d˦ɛ gɾˈanˈkəl ˤɪlˑɾ ˑzɪələ gɔzˑˈoˈlən d˪eː d˨ɛkːdˈankəl v˦ˈsɔvː v�ˈyːə gədːaɑɪən ˔ɪkətɪ gɐzɛltʊs ˦əlɪgəzələn ˌaɪç fˈyːdɛɾʃpɾɪxtɪˈɪʃiːɪ ɪnfɔɾtɛs ɔːbɛtɕɛlˈsɛltɕaɾf ɑn ˌɪtɾiˈʃɔn ɛn ʊɐɦˈaɛːnɪŋ hˈatsɛrnɛiˌnɔiˑɕ glˈauːlɛst dˈeːs ˈapgədɪktɛz fɔm fɐmfɒnˈi˃lɔvɛm glːaʊbən dˌas dːas dʊs ʋɑlɪs ənʃmˈindələlɾ pˈistʊŋ glˌoːgən dʒas das ɐvːeˌeˈnɕi˦ˌˌænˌʃˈuːrˈˈkɑːtˈtɪɾ kˈatɐas tɾˈoˌfɪrːfɯːˌhɾdˈ ɦe˦lɑs əlːlsɛvˌkɛdɾ dˑs d˃as ːo hɪs ɪn kɔmplˈɪksɪst teɪmɑːç dˈeɪŋkˈaɪdɛɪç tsuː nˈixmɐː ˈalɪ,
71254,71254.wav,audios\71254.wav,maɪn lˈiːvɪçtɪŋs gɪtɾˈɪngɪs ɔn kˈoːnən kˌoˌʊnən tɾɪgˈmɪlt ɪlˈʃpɾoˈdɛlˌkɪːɾ dˈeɪz ɑn ɛɪst hɛrˈœs ˈaɪrˌɪʃtɛn ˌaɾʊsən gvˈuːlnɛtˌs ʋɑːrːbɛːʃɛmɾ vˈasɪɾ ːaɔːxɪmɛs əɪvˌvɛʃnɪəɾ kːoˑnən zˈrɪən mɪdʒt ɾiˌːˈkɔʊlnətɕ ɐbˈsɛltɾə ˑvɔɾnɔtːsɔrˑ ˃ɪpɛiˈlːmɑsɪ ɦɔln ʊɾl˃kʃmɔmɐtˈ ɕɪkˈvɑlˑs ævːəs ərˈpɑɾsɑə,
71255,71255.wav,audios\71255.wav,ˈɪmɪç frˈaɪkt ˈʊɐç ˌɪst tˈiːɾ ɪn mˈˈeɪsɪtɛmɑːk ɔn fˈarʊm dˈuːs ːeɾkˈantɪk bɑnfɔɾt nˈix mˌakˈalə tˌiˈrɛɾaɾ fˌuˈlˈaiɪɾɑ ɑt ʊntvˈalsɛn ˑˈtɪlç hˈatbɑŋn hˌan dʊx dʏːç zˈoɪzɪːn ʌn lˈəbɛnts ɛrfˈərʊːgnɛŋˌʏçmɐː mːaɦ m˦ɛt kˈatsɪən hːʊndən gˈimɑm tɪrˈærɑɾiˌːoˌ�ntɪi˦ən vˈasɪvːən kˌaɛsɛln kːanɪənˈ k˃anɛːˈnɪ k˦anɾ m˃ɛvˌoːrˌmˈmɛ kˀaɐt gɪnˌaɪgɛln bɛsɾɪs fɛɾhɪltənst als jˈɛts mɪt tˌɛiːnˈaɾnʊŋ ɪlˈʊfən gɪrˈafən kˈanɪɾ ɔɪzˈøɪçənt tˈiˈrən ɑːxmɛksˈoːɪʃərən tːiˌrən oːlˌeːrˌhˈeˈ ɦɔx vˈəltˌi˛rə bɪˈlˑtʃpɔiˑnə dˈaxs fˈˈuːkˌʃ kˌanɑnʃɪŋɔn ˈævɑ mˈœgəntʊx t˃uˌx sˈalˌəs ˌaləsˈandˈ fɪeˌoˌlːfˌ ɐɾvˈyːˌltɪəs zˈaknən ːoˈbɪən ʊl˃l˦ʃbˈasən dˌaxs vˌaks fʊɐkʃ t˦aɛnːaɐnʌʊn ɛrːbɑ,
71256,71256.wav,audios\71256.wav,hˌɛɾˈɑs ˈaɪs ɪn nˈatɔɾgɛmˌeːs ʊɐdɛs mˈan zˈeɪɾvɛːɾʃaɛnɪç dˈiː vˈæɾmɑːrən mˌoːnɑtə bəfˈoˌʊrt zˌuːkt ɛən mɑŋkˈand rˈasɪˌs əvˈʊntɪtsaɾkˌvˌaɔmːanˈ ʃɪvːaɕɛŋɪŋ ˌœftɛtːʃ mɪntɾɪfɾoˈˈontən ː ˑaʊsɑɾpəs ænfɪrˈœʊŋtən ɔːsaɾlˈpətəs hˈauːzɪst tɾiˈfːoˑn tsʊv˃tɪo˃n tsˈuˌrɪfts ən tsʏvˑs dːeˈlɪlːf �æn zːˈvɪəs dɪt zˑɪmɪ ˃ʊn ˦ɪzɛ aʊ bɪsɪn hɛɾpsˈnʊxɪɾaɪnt zˈɪnd zˌɪlt ʊkˈiː ɪdʒiˈlɪç vˌʊɐlˈaʏn vˈʏntɛmˌøgən ɑːbɑɾ nˈix ɛn ɔlɔːpfɪlɛlt ɕɔn,
71257,71257.wav,audios\71257.wav,hˌaɪs ɪç ɑːlˈtɑktˈɦuː ʊm dˈiː uːˈʊɛltsʊʃˈøːtsnɪˌɛs zɪnt gˈan zˌimtlɛ zˈaɾxənˌiˌʊvˈyːɾdən nˈimɑlz ɛgənvˌeːçtən mʏːnˈˈlˌtɛɾˈsˈœːrˈ ɐɑpfˈal fɔn fɑn fʊn fˈoːŋ ɔgɔɾɛkɔniːriːdən ɾzˈaxnɔl ɦɪzɾaɛzɛnˌrɛːsɾoˌzɪnːiˈnˑɑtuːʊˌvːeˌfən ˌœɾgɛʊlːtɪɾ ɣɔpfɑɾl fɐn ffɔntən fɛrgɾi˛ɛtən zːaxn˃ɪlˑn ɒzɑxnɛv˃n˦ɛm ɭsɑaxnəl˦sɪrə ɑɪnˈɪɾ ʊndmˈøːklɪçt vˌiːlən mˈʏl fɛɾtˈaɪl zˈeːn mɪt dˈiˌɾ gɪdˈankən ʃpiːldɛn ˈas ˌaʊftsɪvɛs ɾˈauːɾ hˈyːbən vˈastən nˈix ɪsɾaɾpɪˈnˌʃuːtˌuˌˈuˈrˈ ːaɑbɪrˌn˃ɪə ɛvɪfɾɛˈˈlˈmɪsts ˤɪx ˃ˈæbɛrːmɛlˌhˈs kˈoːntsɔnts kɔmˌoˈvɔːr˧dɛst zˌeˈmiːˈfɪoˌs ʋɪmːʏːvˈəs zɔnːeˌgɾiˈçtsɑːŋn˦ bəvːfɑfənːs rˈusgɛən ɔnd dˌæn mˌlːo˦sɑm˦l˦ ɑ ˈɔnˈtɔɾ ʊmˈʊɐmˌtɪç ʋˈaɪn ʏnvˌɛɾtɕɪŋˌiːɾn fɛnfˈatsɪˌniːlˌfɔntfɛrn ɪvɔm ɔlnnɔtɾˈuːrˌaɾflˈatɪsən bantsˌoːliːʃən dˈiˌŋən ɛvɛlːsɛkˈlɑːkˌrɪtən kˈkɛsɪlnˌnɪɛmfɑnːfɪrn kˌeɪkːnɛtɛfɾɪfən fɔrn dˌatɔːvˈrɑvlˑɛdənfˌlɛltənfən pˈantsɔvːˌˌʃɛntɪən ːeɾaɛgːaɦɪ kːoˌk˃ɔsːəs ˈsɔnsɔøːçən dɪgən ʐɛː ˌælɪlkɛ k˃lɔfː k˦ɛtsɾəs dːiˈ k,
71258,71258.wav,audios\71258.wav,oːˈaʊ ɑːm vɪɪnˈfˈɪltsɑiːt hˈast dʊːɐɪç nˈeɪm ɛn ɪtɪːn vˈʏkkɛl ˈkɪpt dˈiˌɪs gɪptsˈuːvɑs fˈyːŋmɪd mˈaiːmiːln gˈipt ɔs nˌaɪndɪŋlˈlɪgnˈˌaxɪfɪltˈn fˌyˈldən ɐs aɪən ʋɛɪntn vɑnːsɪniːç tɔːls mɛdɪvɪʊŋvˈoˈvɛlt fːyˌiˈliːʊlən ˌeːfɛːlvɪələn aˈs aːən vˌoˌanˈsiːnts tˈolˌəs ɒm mˌˈmɛdiːo˦n ːeˌʊnd ɦs dˌuˌvɔlən f˃y˦lən vɛs aən væn væɐn vɒanːaɐntʃ tːol� wʊnt dʊɪç vɪɾɪlt dˈiːn nˈimˌals gˈeːgən nˌɑn dˌaɪn ˌauːfɾˈɛçnɛn ɔdɛɾ mˈitən nɑːɪtɛmˌˈ mˌassən gɾalˈzeː hˈalˌʏn fˈaɾ ˈʏrɑdɾoːvˌalːsən kɾaɔs ːatɪx zˈandˌiˌ,
71259,71259.wav,audios\71259.wav,jˈaˌɪç kɔçə gɛɾnˈɛ ʊnts vˈʊɐ ˈalɪs ˌaɪlzəlɪθ vɪɾtɪkˈəln fˈiːk tsuːbɾˈœɪtən vˌʊl dˈeɪzənt ɪn ːɪdɪpɪrˈˈsɪˈnɑːpɑr ɛn pɪʃtˈoːlɛln pˈuːrˌoˈbɪəlˈ ˑɪst gɪvɛs gɾanˈmɑ ˀaɔs vɛntn ɔn tɔːʊlsrɪtsɛtːhˈtɑhːs zˈauːdɛr �œvˈæç ɐɾɪŋvɪlt tsuɪtaːt nˈapɔɾʃɪ tˈənkɑɾ ˒nˌæn ʌnlˌeːn əs mˈlːeˈkːətɛts �ænːmɔlɔkˌətˌs ɑn kˈvɑs ʋl˃k˃�,
71260,71260.wav,audios\71260.wav,ɪm ɪn tsvɪʃənvɑːçt kˈaʊnˈnɔx ʃpɔɾt vɛnɪgɛɾhɔpˈdɪraːt fɔn ɑbɛrɪçɛlɑŋgɪtsaɪt lˈaxɪltɪkt ʊnt gɛriːttˈɔrən gɪrˈætɪsɪlˌaɾn gɔmɑçt ɛm mˈakˈiːzɪˌɾɪɾ ʂpɛoːɾdɑ gɾˈeːtuːən rˈauːnən natɪxɪvʃɑlːrˌuːlɪz vˈasən ɦɪiˌlˈatɪəlˑɛt gɑm ˈamɪoˌnɑɾ zˈərgɑnɾ vˌakˌeˈrɛːsɾaːˈ ˈɪs ˈaɪn ˌɪst ːɪtsɪˈs ɪtˈmɪl ˑɪdɪmɛn nˈʏtnɪmp vɛɾnˈnɛs tɾˈeːnɨngɛgɪgɛ hˈaltʊŋ mʊsglˈauːfbɑːʊkɾaɾdˈˈiːlˈxˈuːgənˌt ˜ɛlfˈœːrˈdɛnt gɛrɪtuːŋɛt vˈanɛvɪɾɛːk vˌanɪvnˌiˈçɪ bɑiˌːˈlˌaɛltɔŋnː bɛʊfbˈasɪʃkɛmˈoːtˌkɹaˌ,
