file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
71261,0.0,63.612,mfa_corpus_german,-53.58493652727559,-58.20274008713759,9.878353776065941,6.042382933955565
71257,0.0,69.876,mfa_corpus_german,-51.527985475100174,-54.22317648739126,9.87136780605258,8.818082660220753
71272,0.0,43.812,mfa_corpus_german,-50.758609621091075,-55.62110632728128,9.5535223168944,10.727071138760623
71274,0.0,95.112,mfa_corpus_german,-52.21646317421933,-56.46429013338956,8.552033718092316,7.451403635769655
71255,0.0,44.82,mfa_corpus_german,-52.941868167112894,-54.79169173124987,7.465202675107494,8.969926993373655
71271,0.0,38.016,mfa_corpus_german,-49.02300598369279,-56.442787170410156,6.52498024582181,10.665411627926407
71269,0.0,42.912,mfa_corpus_german,-49.40142158005127,-54.522774067631474,5.954505669980293,11.406688233977324
71263,0.0,44.964,mfa_corpus_german,-52.98062861432384,-57.91599816699045,5.935379811332569,4.5784187238609135
71258,0.0,32.184,mfa_corpus_german,-55.38499747513984,-58.159944302102794,5.722216127340889,4.12595463330228
71264,0.0,40.464,mfa_corpus_german,-47.956388253830944,-52.050941988110985,4.9188339983107925,9.688659498660005
71333,0.0,11.448,mfa_corpus_german,-56.459634279475985,-62.94422028281472,4.773785721440536,18.82269037634788
71030,0.0,7.02,mfa_corpus_german,-49.193832353988604,-53.32394362084659,4.714442933906438,22.201650465819345
71254,0.0,22.104,mfa_corpus_german,-54.30854779411764,-57.65845080327721,4.475725070982775,6.0749345919495426
71259,0.0,18.072,mfa_corpus_german,-53.14406215412286,-56.17745096137725,4.4078002672371825,7.007566240708041
71334,0.0,11.844,mfa_corpus_german,-54.662604254645274,-60.4429183511173,3.4266002868536485,18.200432328403693
71096,0.0,7.956,mfa_corpus_german,-50.389746584484925,-55.47446193695068,3.3425289547932087,13.411947733259517
71329,0.0,7.2,mfa_corpus_german,-54.494113498263886,-59.40207325970685,3.306684790473967,17.03964113953431
71328,0.0,3.276,mfa_corpus_german,-50.48391053734756,-58.93373434884207,3.088552917753259,19.132613217736292
71332,0.0,14.868,mfa_corpus_german,-54.39487012441157,-60.87941768251616,2.505788554306646,17.943473076941707
71325,0.0,10.188,mfa_corpus_german,-53.15746135917566,-58.97335136227491,2.294637242992627,20.07134842367534
71326,0.0,5.616,mfa_corpus_german,-56.76184386120996,-63.19544958031696,2.1688864219970823,18.931591113881908
71270,0.0,9.9,mfa_corpus_german,-45.35792692550505,-50.44152069091797,1.9628104500023473,10.91413869467227
71324,0.0,5.364,mfa_corpus_german,-49.93445006413246,-58.42736311881773,1.755478631910977,20.75814242777735
71330,0.0,6.192,mfa_corpus_german,-51.14803362277868,-58.773327350616455,1.4618747495367983,20.51968700964379
71331,0.0,4.572,mfa_corpus_german,-52.675281215809626,-61.071514252693426,1.2567780447908745,20.432650954595488
71327,0.0,5.652,mfa_corpus_german,-50.31544178650442,-58.69797760401017,1.1794818572152987,22.430161078604055
71266,0.0,48.24,mfa_corpus_german,,,,
